没戏	没辙	0.69089617
爱怜	同病相怜	0.79261088
激励	缅怀	0.5924815
灌输	讲解	0.5393436
车辆	行人	0.5864189
偏见	认知	0.5401294
北京市	成都市	0.8014905
水果	西红柿	0.7960989
艺术家	地理学家	0.53949383
干涉	管理	0.4225644
管理	托管	0.57757813
书籍	图书馆	0.52429748
框架	组织	0.3527008
炮兵	海军	0.67266132
学习	上课	0.566431
图书馆	文化宫	0.5217999
欲望	情欲	0.76133272
独立	啃老	OOV
同学	同事	0.7155060
语文	数学	0.75785553
低贱	崇高	0.58377545
海域	渤海湾	0.63103863
奖赏	惩罚	0.7078629
名称	外号	0.25870180
霸气	气场	0.8118767
数据库	信息	0.6363186
波涛	海水	0.5669616
唱	颂	0.43396183
鬼话	谎言	0.7002524
顺应	附和	0.3739597
较真儿	死板	OOV
乐观	阳光	0.43070793
羞辱	辱	0.75650670
赋予	给予	0.5661651
伪善	虚伪	0.91808206
在行	熟练	OOV
怪异	奇怪	0.7926726
谦卑	谦逊	0.7763587
反应	反响	OOV
过时	落伍	0.7663981
金钱	钱财	0.7056961
种	栽	OOV
对话框	窗口	0.73818984
弥补	补偿	0.5126615
财力	精力	0.63231235
功夫	素养	0.36666286
竞争力	鉴赏力	0.38460595
比赛	团队	0.41758484
企业家	作曲家	0.52209444
素菜	牛肉	0.6773549
报警	报告	0.47625273
残疾	死亡	0.4244914
指导	斥责	0.377572
利润	成本	0.7431721
思想	智力	0.47909630
配合	违抗	0.14984043
电话	邮件	0.65260134
公司	代销店	OOV
苹果	香蕉	0.64772363
盈利	亏损	0.7572950
公益	善心	0.5369750
总理	主席	0.6456126
医生	护士	0.83545163
疼爱	溺爱	0.90307052
新闻界	舆论界	0.7288929
眺望	展望	0.5396623
发怒	恼羞成怒	0.8162518
执着	倔强	0.60524307
牵强	勉强	0.53008708
散伙	离别	0.5562081
支柱	骨干	0.4750247
慰劳	犒赏	0.77441931
心态	心境	0.80750110
走神	愣	0.6069269
诀窍	秘籍	0.593552
成果	果实	0.27216522
恼	怒	0.5553099
犹豫	踟蹰不前	OOV
作用	功能	0.66408568
怜爱	爱怜	0.78545685
化肥	化学肥料	0.8000451
物流	顺风	0.4174122
皮肤	眼睛	0.75184779
印象	大脑	0.45257465
阶层	皇室	0.5199406
新鲜	空气	0.53816593
法庭	律师	0.6518731
文章	理论	0.5084710
行星	月亮	0.50517305
日记	文章	0.6743934
食物	水果	0.6713624
俗	美	0.18572316
会员卡	会员	0.6791416
欧洲	南美洲	0.71636177
风景	山水	0.6828781
文体	骚体	0.60776591
没劲	兴致勃勃	OOV
新浪	腾讯	0.76646023
服装	裙子	0.68802386
凉快	炎热	0.89415429
歌舞	迪斯科	0.44000678
小学生	大中学生	0.5719669
汽车	越野车	0.660832
团购	购买	0.6167488
平台	环境	0.39275519
研讨	争论	0.6666917
演说	说话	0.4800020
虚拟	编造	0.2546839
高风险	风险	0.823443
感动	热泪盈眶	0.8113330
底薪	工资	0.71745447
扶持	提携	0.45917936
有效	有用	OOV
圆满	大功告成	0.67305345
邀请	诚邀	0.7468261
破烂	破烂不堪	0.7462181
信誉	信用	0.52833143
孤单	寂寞	0.75489286
会见	会晤	0.8232434
背地里	背后	OOV
实质	本质	0.72813821
枯萎	凋零	0.671954
互联网	因特网	0.9862065
课程表	课表	0.97952191
洁癖	网瘾	0.60697599
讲座	座位	0.25298427
粗鲁	文盲	0.3696117
女士	白骨精	0.2807547
电话	设备	0.5975785
欢迎	迎宾	OOV
气温	高温	0.6826122
成功	失意	0.37337559
积极	消极	OOV
君子	小人	0.566691
认真	马虎	OOV
北大	清华	0.6354000
国王	女王	0.7204832
商业	工业	0.6106941
闺房	卧室	0.51285449
削减	裁员	0.6462090
检验	查	0.38466176
席位	位置	0.47123397
奖励	记功	0.4729364
麻利	灵活	0.3331190
随意	随便	0.7989810
奋斗	努力	0.78293756
高兴	兴奋	OOV
猜忌	多疑	0.79792289
轻蔑	藐视	0.8205218
服气	口服心服	OOV
入场券	门票	0.9167939
生物钟	地球仪	0.35862723
年级	成绩	0.5249531
矩阵	数据	0.4371856
杯子	饮料	0.51795018
杯子	实体	0.29069717
困倦	生病	0.6354177
政敌	情敌	0.64330394
灾区	地震	0.7394279
生日	蛋糕	0.28270543
泡沫	肥皂	0.56572623
电影	导演	0.88139906
学生	老师	0.64950441
自动	手动	0.6904293
大学	中专	0.48780379
交易	交换	0.66373879
快乐	欣喜若狂	0.57229632
邪念	非分之想	0.72212461
平静	心平气和	0.5894133
任命	委以重任	0.6003360
瞎扯	编造	0.52459044
相信	信赖	OOV
支部	面部	0.14662843
正义	人民	OOV
转基因	大豆	0.7979609
白宫	宿舍	0.48388032
解释	分解	0.45164099
自卑感	历史感	0.62710568
距离	速度	0.5767112
投资者	收入	0.59841839
网络	硬件	0.6094759
责任	保险	OOV
比赛	胜利	0.3969775
亲近感	荣誉感	0.716855
壁橱	衣服	0.5187303
无用功	效率	0.5390559
课程	学校	0.7779244
学者	学习	0.43190840
超市	食品	0.6022281
家属	丈夫	0.45309901
国企	私企	0.67880167
勾画	描摹	0.7691252
想法	主意	0.74230762
美	靓	0.4320844
牢固	坚不可摧	0.73402512
凌乱	乱七八糟	0.64855460
工作	干活儿	0.46249018
恭贺	恭喜	0.80239963
拍马屁	谄谀	0.7786695
PC	计算机	0.5490209
行	可以	OOV
死党	共和党	0.32103959
歌剧	工业	0.24962788
轻浮	轻松	0.57733527
职业	教育	0.57067275
物理	质子	0.39700933
网球	球拍	0.54512537
缓慢	飞快	0.6401560
人民币	美元	0.76870544
青年	中青年	0.61616202
境界	意境	0.5827098
跋扈	骄横	0.8914547
弘扬	发扬	0.7928752
恶劣	坏	0.5857078
更加	愈发	OOV
优秀	出众	0.70588072
计算机	新闻	0.45617860
期刊	协会	0.41341337
纸老虎	狮子	0.33993713
冷静	荒凉	0.20722102
乡村	故事	0.32061416
出路	山路	0.33400464
能源	危机	0.37550056
房价	面积	0.4899325
龙头	老大	OOV
安排	部署	0.36923387
文明	吸烟者	0.24028297
普及	担当	0.25759157
困难	自怨自艾	0.4865369
造型	照片	0.52400611
抠门儿	小气	OOV
假货	赝品	0.7517378
拖后腿	拉后腿	OOV
天下	气候	0.30780191
轻	善	0.23459006
日程	季度	0.53297948
宇宙	蚂蚁	0.35376006
面包店	绿豆粥	OOV
结盟	无理取闹	0.3289045
免税店	飞机	0.3844789
逃课	创业	0.41738029
态度	秋波	0.3087196
但	但是	OOV
赢	胜	0.59676586
调查	努力	0.47125075
玻璃	魔术师	0.3162262
干扰	上网	0.4890314
课堂	美食	0.2991816
情节	黄色	0.21337350
计算机	电脑	0.9020205
讲价	打架	0.4699636
教授	黄瓜	0.06484390
控制	恐高	OOV
阻力	天花板	0.31774550
WTO	世界贸易组织	0.826405
紫禁城	故宫	0.6600508
算盘	计算机	0.41761312
